sampleid,sample,lake,year,taxa,count,sample_area_m2,gear,combined_sites,density
P18105163005,5,105,2018,Bivalvia,2,0.023,Ekman,NA,86.95652174
P18105163007,7,105,2018,Bivalvia,1,0.023,Ekman,NA,43.47826087
P18019163005,5,19,2018,Ceratopogonidae,1,0.023,Ekman,NA,43.47826087
P18019163007,7,19,2018,Ceratopogonidae,3,0.023,Ekman,NA,130.4347826
P19019219005,5,19,2019,Ceratopogonidae,1,0.104,Ponar,2,9.615384615
P20019212001,1,19,2020,Ceratopogonidae,2,0.156,Ponar,3,12.82051282
P18036163004,4,36,2018,Ceratopogonidae,3,0.023,Ekman,NA,130.4347826
P18090183004,4,90,2018,Ceratopogonidae,1,0.023,Ekman,NA,43.47826087
P18105163007,7,105,2018,Ceratopogonidae,3,0.023,Ekman,NA,130.4347826
P18105163010,10,105,2018,Ceratopogonidae,1,0.023,Ekman,NA,43.47826087
P19105204001,1,105,2019,Ceratopogonidae,4,0.104,Ponar,2,38.46153846
P19105204002,2,105,2019,Ceratopogonidae,4,0.104,Ponar,2,38.46153846
P19105204003,3,105,2019,Ceratopogonidae,2,0.104,Ponar,2,19.23076923
P19105204004,4,105,2019,Ceratopogonidae,7,0.104,Ponar,2,67.30769231
P19105204005,5,105,2019,Ceratopogonidae,3,0.104,Ponar,2,28.84615385
P20105212002,2,105,2020,Ceratopogonidae,3,0.26,Ponar,5,11.53846154
P18113179004,4,113,2018,Ceratopogonidae,2,0.023,Ekman,NA,86.95652174
P18113179006,6,113,2018,Ceratopogonidae,5,0.023,Ekman,NA,217.3913043
P18113179009,9,113,2018,Ceratopogonidae,5,0.023,Ekman,NA,217.3913043
P19113197007,7,113,2019,Ceratopogonidae,4,0.052,Ponar,NA,76.92307692
P18012243001,1,12,2018,Chaoboridae,3,0.023,Ekman,NA,130.4347826
P18012243002,2,12,2018,Chaoboridae,9,0.023,Ekman,NA,391.3043478
P18012243004,4,12,2018,Chaoboridae,5,0.023,Ekman,NA,217.3913043
P18012243005,5,12,2018,Chaoboridae,1,0.023,Ekman,NA,43.47826087
P18012243007,7,12,2018,Chaoboridae,2,0.023,Ekman,NA,86.95652174
P18012243008,8,12,2018,Chaoboridae,9,0.023,Ekman,NA,391.3043478
P18012243009,9,12,2018,Chaoboridae,14,0.023,Ekman,NA,608.6956522
P19012231002,2,12,2019,Chaoboridae,23,0.104,Ponar,2,221.1538462
P19012231003,3,12,2019,Chaoboridae,8,0.104,Ponar,2,76.92307692
P20012206002,2,12,2020,Chaoboridae,1,0.104,Ponar,2,9.615384615
P20012206003,3,12,2020,Chaoboridae,1,0.104,Ponar,2,9.615384615
P20012206005,5,12,2020,Chaoboridae,5,0.104,Ponar,2,48.07692308
P18019163003,3,19,2018,Chaoboridae,2,0.023,Ekman,NA,86.95652174
P18019163005,5,19,2018,Chaoboridae,1,0.023,Ekman,NA,43.47826087
P18019163010,10,19,2018,Chaoboridae,4,0.023,Ekman,NA,173.9130435
P19019219003,3,19,2019,Chaoboridae,1,0.104,Ponar,2,14.42308
P19019219005,5,19,2019,Chaoboridae,1,0.104,Ponar,2,9.615384615
P20019212001,1,19,2020,Chaoboridae,2,0.156,Ponar,3,12.82051282
P20019212003,3,19,2020,Chaoboridae,1,0.156,Ponar,3,6.41025641
P18090183002,2,90,2018,Chaoboridae,1,0.023,Ekman,NA,43.47826087
P20090205001,1,90,2020,Chaoboridae,1,0.104,Ponar,2,9.615384615
P18406184006,6,406,2018,Chaoboridae,7,0.023,Ekman,NA,304.3478261
P18406184007,7,406,2018,Chaoboridae,2,0.023,Ekman,NA,86.95652174
P18406184009,9,406,2018,Chaoboridae,1,0.023,Ekman,NA,43.47826087
P18406184010,10,406,2018,Chaoboridae,9,0.023,Ekman,NA,391.3043478
P20406205003,3,406,2020,Chaoboridae,1,0.104,Ponar,2,9.615384615
P20406205004,4,406,2020,Chaoboridae,1,0.156,Ponar,3,6.41025641
P18012243001,1,12,2018,Chironomidae,1,0.023,Ekman,NA,43.47826087
P18012243002,2,12,2018,Chironomidae,6,0.023,Ekman,NA,260.8695652
P18012243004,4,12,2018,Chironomidae,11,0.023,Ekman,NA,478.2608696
P18012243005,5,12,2018,Chironomidae,6,0.023,Ekman,NA,260.8695652
P18012243006,6,12,2018,Chironomidae,6,0.023,Ekman,NA,5.865102639
P18012243007,7,12,2018,Chironomidae,4,0.023,Ekman,NA,173.9130435
P18012243008,8,12,2018,Chironomidae,4,0.023,Ekman,NA,173.9130435
P18012243009,9,12,2018,Chironomidae,6,0.023,Ekman,NA,260.8695652
P19012231001,1,12,2019,Chironomidae,2,0.104,Ponar,2,19.23076923
P19012231003,3,12,2019,Chironomidae,2,0.104,Ponar,2,19.23076923
P19012231005,5,12,2019,Chironomidae,1,0.104,Ponar,2,9.615384615
P20012206001,1,12,2020,Chironomidae,1,0.104,Ponar,2,9.615384615
P20012206002,2,12,2020,Chironomidae,5,0.104,Ponar,2,48.07692308
