Organism,ID,Count,4,Measurement_1,Measurement_2,Measurement_3,Measurement_4,Measurement_5,Measurement_6,Measurement_7,Measurement_8,Measurement_9,Measurement_10,Measurement_11,Measurement_12,Measurement_13,Measurement_14,Measurement_15,Measurement_16,Measurement_17,Measurement_18,Measurement_19,Measurement_20,Measurement_21,Measurement_22,Measurement_23,Measurement_24,Measurement_25
Alona,ala,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Alonella,ale,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Bosmina,b,3,a,221.8,173.4,246.8,,,,,,,,,,,,,,,,,,,,,,
Camptocercus,cp,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Ceriodaphnia,cd,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Chydorus,ch,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Daphnia,d,12,a,604.2,562.9,1036.1,700.7,793.4,768.9,691.2,1121,706.5,535,798.8,884.9,,,,,,,,,,,,,
D.Lumholtzi,dl,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Diaphanosoma,ds,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Graptoleberis,gr,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Leptodora,lp,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Moina,m,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Pleuroxus,ps,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Scapholeberis,sc,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Simocephalus,si,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Calanoida,cl,9,a,412.4,328.7,325.2,396.7,976.4,356.8,892.1,320.3,1032.2,,,,,,,,,,,,,,,,
Cyclopodia,cy,12,a,353.2,365.3,501.9,449.9,320.5,326.3,527.7,392.6,354.3,414.1,378.5,437.9,,,,,,,,,,,,,
Nauplii,n,66,a,157.9,102.7,131,150.8,129.3,124.9,204.3,149.1,154.3,163,175.5,199.3,151.9,169.6,185,151.5,157.1,162.5,170,150.2,145.3,137.5,123.9,101.3,126.3
Anuraeopsis,an,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Ascomorpha,as,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Asplanchna,a,6,a,454.2,441.9,310.3,390.8,406.6,406.5,,,,,,,,,,,,,,,,,,,
Asplanchnopus,asp,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Brachionus,br,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Conochilus,col,21,a,104.5,100.3,95.6,147.4,93.4,98.5,68.1,90.2,86.8,53.5,80.9,83.3,92.3,86.4,87.4,87.7,106,119.4,74,129.3,103.5,63.3,,,
Conochilus,col,21,b,,59.9,57.9,53.5,67.2,54.8,40.2,39.8,45.8,30.9,35.1,67.8,52.6,28.6,38.6,44.4,47.4,34.7,32.1,49.9,31.8,43,,,
Euchlanis,e,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Filinia,f,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Gastropus,g,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Hexarthra,h,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Kellicottia,k,1,a,121.3,,,,,,,,,,,,,,,,,,,,,,,,
Keratella cochlearis,k,65,a,120.5,82.8,93.7,107.8,118,89.3,102.2,107.1,108.3,150.9,108.1,102.8,123.8,108.8,101.2,105.5,122.3,95.6,124.5,128.9,118.7,92.8,117.6,94.3,113.3
Keratella quadrata,kq,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Lecane,l,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Lepadella,ld,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Machrochaetus,mo,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Monostyla,mo,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Mytilina,ml,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Mytilina,ml,,b,,,,,,,,,,,,,,,,,,,,,,,,,
Notholca,nt,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Platyias,pl,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Ploesoma,pl,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Polyarthra,p,20,a,71.3,85.2,79.8,99.4,68.3,74,81.6,92.1,83.3,83.3,37.8,93.3,106.1,73.8,93.1,109.5,92.7,90.7,83.2,68.3,,,,,
Pompholyx,px,68,a,89.2,76.8,95.8,102.6,96.7,88.4,117.1,78.1,92.9,96.3,96.3,90.2,99.2,98.1,82.5,102.9,88.2,92.6,74.9,79.4,83.3,59.3,83.6,112.8,103.8
Synchaeta,sn,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Testudinella,ts,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Trichocerca,tl,2,a,160.9,156.2,,,,,,,,,,,,,,,,,,,,,,,
Trichocerca,tl,2,b,49,62.2,,,,,,,,,,,,,,,,,,,,,,,
Trichotria,tr,,a,,,,,,,,,,,,,,,,,,,,,,,,,
