Organism,ID,Count,Measurement/Type,Measurement_1,Measurement_2,Measurement_3,Measurement_4,Measurement_5,Measurement_6,Measurement_7,Measurement_8,Measurement_9,Measurement_10,Measurement_11,Measurement_12,Measurement_13,Measurement_14,Measurement_15,Measurement_16,Measurement_17,Measurement_18,Measurement_19,Measurement_20,Measurement_21,Measurement_22,Measurement_23,Measurement_24,Measurement_25,
Alona,ala,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonella,ale,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosmina,b,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Camptocercus,cp,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceriodaphnia,cd,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Chydorus,ch,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Daphnia,d,18,a,770.4,466.3,582.5,728.3,725,627.4,494.7,618.2,541.9,691.2,776.1,458.9,668.4,980.9,699.1,585.4,719.5,656.5,,,,,,,,
D.Lumholtzi,dl,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Diaphanosoma,ds,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Graptoleberis,gr,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptodora,lp,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Moina,m,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleuroxus,ps,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Scapholeberis,sc,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Simocephalus,si,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Calanoida,cl,7,a,712.6,696.9,447.6,818.1,426.7,415.5,408.6,,,,,,,,,,,,,,,,,,,
Cyclopodia,cy,19,a,499.4,560.5,410.9,710.9,560.9,801.6,619.7,559.5,540.7,533.4,571.6,434.5,380.5,391.4,477.4,780.4,496.3,630.2,547.4,,,,,,,
Nauplii,n,56,a,104.9,143.9,276.8,275.7,150.2,155.1,147.6,132,143.9,206.4,141.3,126.9,126.6,217.9,181.8,131.8,139.8,160,272.1,226.9,138.7,158.2,107.8,140.1,254,
Anuraeopsis,an,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascomorpha,as,43,a,101.3,107.4,124.8,104.3,124,117.1,110.2,103.8,94.7,92.9,88.7,108.5,91.7,103.1,104.9,97.1,104.8,107.7,100.3,120,93.2,111.8,95.6,98.9,89.3,
Asplanchna,a,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Asplanchnopus,asp,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachionus,br,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Conochilus,col,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Conochilus,col,,b,,,,,,,,,,,,,,,,,,,,,,,,,,
Euchlanis,e,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Filinia,f,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastropus,g,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexarthra,h,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Kellicottia,k,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Keratella cochlearis,k,392,a,91.5,88.9,91.4,81.1,86.2,91.6,88.9,78.6,79.9,99.2,86.4,89.8,90.7,85.1,97.7,89.7,86.6,84.8,84.6,83.8,89.9,86,84.9,90.5,92.1,
Keratella quadrata,kq,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecane,l,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepadella,ld,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Machrochaetus,mo,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Monostyla,mo,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Mytilina,ml,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Mytilina,ml,,b,,,,,,,,,,,,,,,,,,,,,,,,,,
Notholca,nt,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyias,pl,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Ploesoma,pl,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyarthra,p,138,a,95.9,83.7,81,101.2,84.8,80.3,100.2,91.1,82.9,89.7,94.6,89.5,82.2,107.2,118.5,114.7,112.4,94.3,,92,98.8,100.4,92.1,68.2,69.6,77.8
Pompholyx,px,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Synchaeta,sn,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Testudinella,ts,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Trichocerca,tl,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
Trichocerca,tl,,b,,,,,,,,,,,,,,,,,,,,,,,,,,
Trichotria,tr,,a,,,,,,,,,,,,,,,,,,,,,,,,,,
