Organism,ID,Count,Measurement/Type,Measurement_1,Measurement_2,Measurement_3,Measurement_4,Measurement_5,Measurement_6,Measurement_7,Measurement_8,Measurement_9,Measurement_10,Measurement_11,Measurement_12,Measurement_13,Measurement_14,Measurement_15,Measurement_16,Measurement_17,Measurement_18,Measurement_19,Measurement_20,Measurement_21,Measurement_22,Measurement_23,Measurement_24,Measurement_25,...30,...31
Alona,ala,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonella,ale,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosmina,b,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camptocercus,cp,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceriodaphnia,cd,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chydorus,ch,1,a,218.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Daphnia,d,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Lumholtzi,dl,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diaphanosoma,ds,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graptoleberis,gr,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptodora,lp,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moina,m,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleuroxus,ps,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scapholeberis,sc,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simocephalus,si,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calanoida,cl,6,a,728,775.2,364.2,395.8,752.8,675.2,,,,,,,,,,,,,,,,,,,,,
Cyclopodia,cy,2,a,644.1,323.3,,,,,,,,,,,,,,,,,,,,,,,,,
Nauplii,n,4,a,129.4,129.6,187.5,119.4,,,,,,,,,,,,,,,,,,,,,,,
Anuraeopsis,an,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascomorpha,as,1,a,104.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Asplanchna,a,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asplanchnopus,asp,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachionus,br,,a,79.3,54.9,85,68.2,48.3,79.6,54,69.5,64.2,92.7,71.5,81.4,61.6,54.6,72.4,69.6,45.1,,,,,,,,,,
Conochilus,col,17,a,147.9,179.3,135.8,147.8,123.5,146.8,107.7,180.1,142.8,130.3,151.3,159.6,126.5,112.3,165,154.5,190.8,,,,,,,,,,
Conochilus,col,17,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euchlanis,e,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filinia,f,1,a,118.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastropus,g,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexarthra,h,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kellicottia,k,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keratella cochlearis,k,4,a,115.4,111.9,131.2,106,,,,,,,,,,,,,,,,,,,,,,,
Keratella quadrata,kq,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecane,l,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepadella,ld,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machrochaetus,mo,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monostyla,mo,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mytilina,ml,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mytilina,ml,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notholca,nt,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyias,pl,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ploesoma,pl,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyarthra,p,1,a,75.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Pompholyx,px,40,a,93,96.8,94.2,95.7,91.9,99.2,96.9,87.8,103.8,97.5,89.1,89.9,90.4,94.6,108.5,106.2,102.3,84.8,104,97.6,87.2,97.6,101.8,136.4,98.3,,
Synchaeta,sn,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
Testudinella,ts,,a,93,87.3,81.1,99.8,,,,,,,,,,,,,,,,,,,,,,,
Trichocerca,tl,4,a,128.5,136.1,146.1,140.5,,,,,,,,,,,,,,,,,,,,,,,
Trichocerca,tl,4,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trichotria,tr,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
