Organism	ID	Count	Measurement/Type	Measurement_1	Measurement_2	Measurement_3	Measurement_4	Measurement_5	Measurement_6	Measurement_7	Measurement_8	Measurement_9	Measurement_10	Measurement_11	Measurement_12	Measurement_13	Measurement_14	Measurement_15	Measurement_16	Measurement_17	Measurement_18	Measurement_19	Measurement_20	Measurement_21	Measurement_22	Measurement_23	Measurement_24	Measurement_25
Alona	ala		a																									
Alonella	ale 		a																									
Bosmina	b	12	a	210.1	224.1	218.3	163.7	211.3	186	176.8	144.2	153.3	177.7	184.7	155.5													
Camptocercus	cp		a																									
Ceriodaphnia	cd		a																									
Chydorus	ch		a																									
Daphnia	d	6	a	599.8	486.1	593.2	414.6	598.2	373.7																			
D.Lumholtzi	dl		a																									
Diaphanosoma	ds		a																									
Graptoleberis	gr		a																									
Leptodora	lp		a																									
Moina	m		a																									
Pleuroxus	ps		a																									
Scapholeberis	sc		a																									
Simocephalus	si		a																									
Calanoida	cl	2	a	759.7	660.4																							
Cyclopodia	cy	8	a	465.6	493.9	425.1	321.3	560.9	391.6	562.4	546.1																	
Nauplii	n	9	a	92.2	67.1	67.9	57.4	148.1	82.7	134.6	128	74.1																
Anuraeopsis	an		a																									
Ascomorpha	as		a																									
Asplanchna	a		a																									
Asplanchnopus	asp		a																									
Brachionus	br	1	a	86.2																								
Conochilus	col		a																									
Conochilus	col		b																									
Euchlanis	e		a																									
Filinia	f		a																									
Gastropus	g 		a																									
Hexarthra	h		a																									
Kellicottia	kl	3	a	65	69	73.8																						
Keratella cochlearis	k	15	a	56.3	71.9	65.9	68.1	60	64.1	63.4	57.8	75.5	83.5	85	73.9	69.4	59.5	80.1										
Keratella quadrata	kq		a																									
Lecane	l 		a																									
Lepadella	ld		a																									
Machrochaetus	mo		a																									
Monostyla	mo		a																									
Mytilina	ml		a																									
Mytilina	ml		b																									
Notholca	nt		a																									
Platyias	pl		a																									
Ploesoma	pl		a																									
Polyarthra	p	9	a	59.7	61.1	85.7	69.2	54.9	56.1	63.3	102.7	61.4																
Pompholyx	px	4	a	57.6	55.9	62.2	70.7																					
Synchaeta	sn		a																									
Testudinella	ts		a																									
Trichocerca	tl	8	a	92.9	93.4	97.3	94.7	106.3	85.7	101.6	94																	
Trichocerca	tl	8	b	35.4	32.2	33.4	32.6	31.4	27.7	34.3	34.1																	
Trichotria	tr 		a																									
