Organism,ID,Count,Measurement/Type,Measurement_1,Measurement_2,Measurement_3,Measurement_4,Measurement_5,Measurement_6,Measurement_7,Measurement_8,Measurement_9,Measurement_10,Measurement_11,Measurement_12,Measurement_13,Measurement_14,Measurement_15,Measurement_16,Measurement_17,Measurement_18,Measurement_19,Measurement_20,Measurement_21,Measurement_22,Measurement_23,Measurement_24,Measurement_25
Alona,ala,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Alonella,ale ,13,a,264,251,296.4,195,324.1,244.1,236.6,227.8,308.7,284.6,293,323.8,288.1,,,,,,,,,,,,
Bosmina,b,65,a,393.3,371.7,385.9,428.8,353,239,294.9,351.6,307.4,365.1,351.3,347.2,335.5,278.1,228.6,411.5,304.8,374.1,252.9,232.8,221.3,324.7,227,255.1,310.6
Camptocercus,cp,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Ceriodaphnia,cd,62,a,489.7,558.2,405.7,502.9,426.3,440.1,609.9,428.1,514.4,489.5,581,452.4,393,453.8,407.8,379.6,604.8,547.2,535.8,521.2,452.4,397.9,338.9,310.5,
Chydorus,ch,387,a,280.6,344,199.1,275.7,203.9,204.1,206.5,321.5,305.1,588.2,304.1,302.8,335.8,306.1,356.6,328.3,306.6,285.4,261.1,205.2,212.6,330.4,171.7,303.1,305.9
Daphnia,d,5,a,491.2,938.8,625.7,824.4,585.7,,,,,,,,,,,,,,,,,,,,
D.Lumholtzi,dl,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Diaphanosoma,ds,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Graptoleberis,gr,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Leptodora,lp,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Moina,m,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Pleuroxus,ps,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Scapholeberis,sc,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Simocephalus,si,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Calanoida,cl,3,a,905.1,569.3,876.5,,,,,,,,,,,,,,,,,,,,,,
Cyclopodia,cy,19,a,344.6,569.8,354.5,703.3,280,399,323.1,709.3,173.1,640.7,630.9,301.5,711,656.8,757.2,526.1,509.6,409.5,764,,,,,,
Nauplii,n,157,a,110.4,134.5,171.7,163.2,136,135.7,125.6,143.1,157,134.4,146,132.7,195.2,127.9,162.2,150.4,150.7,126.5,102.9,151,188.4,187,128.3,104.7,146.5
Anuraeopsis,an,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Ascomorpha,as,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Asplanchna,a,8,a,283.5,301.4,349.9,235.4,322.7,203.7,246.7,323.2,,,,,,,,,,,,,,,,,
Asplanchnopus,asp,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Brachionus,br,5,a,295.4,100.5,94.2,295.3,311.8,,,,,,,,,,,,,,,,,,,,
Conochilus,col,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Conochilus,col,,b,,,,,,,,,,,,,,,,,,,,,,,,,
Euchlanis,e,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Filinia,f,82,a,116.2,128.1,88.8,109.3,108.9,88.7,106.4,126.7,112.9,117.4,118.1,129.9,120.3,106.9,103.2,103,118.6,152.1,107.2,188.6,101.9,99.9,137.7,96.1,110.7
Gastropus,g ,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Hexarthra,h,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Kellicottia,kl,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Keratella cochlearis,k,106,a,116.6,114.9,124.8,139.4,108.2,102,121.2,120.5,123.9,129.7,104.5,152.1,103.3,141.2,135.6,102,131,127.5,114.2,122.1,134.5,123.9,163.2,189.9,93
Keratella quadrata,kq,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Lecane,l ,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Lepadella,ld,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Machrochaetus,mo,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Monostyla,mo,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Mytilina,ml,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Mytilina,ml,,b,,,,,,,,,,,,,,,,,,,,,,,,,
Notholca,nt,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Platyias,pl,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Ploesoma,pl,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Polyarthra,p,11,a,81.2,125.5,96.5,88.8,91.4,102.7,89.3,92.3,98.2,81.4,82.3,,,,,,,,,,,,,,
Pompholyx,px,9,a,73.1,89.7,75.2,68.3,57.3,74.1,60.8,84.9,87.7,,,,,,,,,,,,,,,,
Synchaeta,sn,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Testudinella,ts,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Trichocerca,tl,,a,,,,,,,,,,,,,,,,,,,,,,,,,
Trichocerca,tl,,b,,,,,,,,,,,,,,,,,,,,,,,,,
Trichotria,tr ,,a,,,,,,,,,,,,,,,,,,,,,,,,,
