SampleID,Lake_No,DOY,Round,DUP,Date Count,Sample_Vol,Subsample_Vol,Counter,Notes,TOW.DEPTH
A19001170004,1,170,1,,7/10/2019,37,1,BH,,1.2
A19001218002,1,218,2,,8/23/2019,31,1,BH,,2.9
A19001261003,1,261,3,,11/23/2019,38,1,KF,,3.9
A19002161007,2,161,1,,6/26/2019,64,1,BH,,2.8
A19002210001,2,210,2,,8/23/2019,48,1,KF,,2.9
A19002253005,2,253,3,,11/8/2019,56,2,KF,,3.3
A19003140003,3,140,1,,5/21/2019,53,1,BH,,2.7
A19003189001,3,189,2,,7/15/2019,32,1,KF,,2.5
A19003231002,3,231,3,,10/4/2019,22,1,KF,,5
A19004177007,4,177,1,,7/12/2019,33,1,BH,,2
A19004224013,4,224,2,,9/4/2019,49,4,KF,,3.7
A19004268006,4,268,3,,12/11/2019,31,1,KF,,4.7
A19005156002,5,156,1,,6/24/2019,67,1,KC,,2.5
A19005198006,5,198,2,,8/5/2019,34,3,BH,,3.2
A19005239010,5,239,3,,10/10/2019,35,1,BH,,4.3
A19006142002,6,142,1,,5/31/2019,14,3,BH,,4.2
A19006190002,6,190,2,,7/24/2019,46,4,KC,,1.3
A19006232002,6,232,3,,10/1/2019,26,1,BH,,3
A19007162006,7,162,1,,7/1/2019,57,1,BH,,2.6
A19007211004,7,211,2,,8/19/2019,36,8,BH,,4.5
A19007251010,7,251,3,,11/1/2019,34,1,KF,,5.1
A19008177004,8,177,1,,7/10/2019,34,1,BH,,3.4
A19008225003,8,225,2,,9/19/2019,31,1,BH,,3.4
A19008265001,8,265,3,,12/10/2019,44,1,BH,,2.5
A19009143001,9,143,1,,5/30/2019,136,1,BH,,1.8
A19009190006,9,190,2,,7/29/2019,40,1,BH,,1.3
A19009232006,9,232,3,,10/4/2019,26,1,KF,,6.7
A19010148005,10,148,1,,6/12/2019,59,1,BH,,2.3
A19010203003,10,203,2,,8/12/2019,33,11,BH,,1.9
A19010246008,10,246,3,,10/23/2019,18,1,KF,,5.2
A19011140002,11,140,1,,5/22/2019,53,1,JR,,1.8
A19011189004,11,189,2,,7/17/2019,51,1,KF,,1.85
A19011231007,11,231,3,,9/28/2019,24,2,KF,,1.6
A19012140010,12,140,1,,5/21/2019,56,1,BH,,2.2
A19012189012,12,189,2,,7/22/2019,52,1,BH,,2.3
A19012231004,12,231,3,,10/4/2019,33,1,KF,,2.1
A19013154004,13,154,1,,6/20/2019,38,2,BH,,1.6
A19013196001,13,196,2,,8/1/2019,27,2,KC,,1.9
A19013239004,13,239,3,,10/18/2019,30,2,KF,,1.5
A19014177005,14,177,1,,7/15/2019,20,1,KF,,1.6
A19014225004,14,225,2,,9/19/2019,26,1,BH,,2.7
A19014265002,14,265,3,,12/2/2019,27,1,BH,,2.8
A19015140008,15,140,1,,5/22/2019,52,1,BH,,1.6
A19015189009,15,189,2,,7/29/2019,40,3,BH,,1.8
A19015231005,15,231,3,,9/26/2019,26,3,BH,,1.7
A19016142001,16,142,1,,5/28/2019,63,1,BH,,5.4
A19016190001,16,190,2,,7/26/2019,42,2,KC,,1.3
A19016232001,16,232,3,,10/3/2019,31,5,BH,,5.1
A19017161008,17,161,1,,6/27/2019,44,1,KF,,3.6
A19017210002,17,210,2,,8/15/2019,29,2,BH,,3.7
A19017253003,17,253,3,,11/6/2019,23,1,KF,,4.2
A19018176006,18,176,1,,7/11/2019,44,1,KF,,5.4
A19018224006,18,224,2,,9/17/2019,32,1,BH,,4.5
A19018268001,18,268,3,,12/12/2019,32,3,BH,,5.4
A19019148007,19,148,1,,6/12/2019,148,5,BH,,4.3
A19019203001,19,203,2,,8/12/2019,44,1,BH,,3.9
A19019246006,19,246,3,,10/22/2019,25,2,BH,,3.8
A19020168002,20,168,1,,7/8/2019,45,1,BH,,2.5
A19020219001,20,219,2,,8/29/2019,43,1,BH,,2.9
A19020259002,20,258,3,,11/15/2019,23,1,KF,,4
A19021176001,21,176,1,,7/12/2019,40,2,KF,,4.7
A19021224001,21,224,2,,9/6/2019,43,1,KF,,4.5
A19021267005,21,267,3,,12/13/2019,27,1,KF,,4.7
A19022161011,22,161,1,,6/27/2019,43,1,KF,,2.5
A19022210004,60,210,2,,8/16/2019,25,1,KF,,3.4
A19022252006,22,251,3,,10/31/2019,26,4,BH,,3.5
A19024140005,24,140,1,,5/30/2019,61,2,BH,,7
A19024189007,24,189,2,,7/18/2019,46,1,KF,,3.2
A19024231001,24,231,3,,9/28/2019,32,1,KF,,4.8
A19025177001,25,177,1,,7/11/2019,64,1,BH,,4.4
A19025224012,25,224,2,,9/13/2019,40,1,KF,,4.2
A19025267006,25,267,3,,12/11/2019,41,1,KF,,4.4
A19028253002,28,253,3,,11/8/2019,30,2,KF,,6.7
A19029170003,29,170,1,,7/8/2019,35,1,KF,,2.3
A19029218001,29,218,2,,8/30/2019,34,1,KF,,3.1
A19029261005,29,261,3,,11/21/2019,36,1,BH,,4.4
A19030148001,30,148,1,,6/13/2019,50,1,KC,,5.9
A19030204001,30,204,2,,8/8/2019,43,1,BH,,2.1
A19030246011,30,246,3,,10/23/2019,29,1,KF,,2.6
A19031150005,31,150,1,,6/13/2019,55,1,KC,,9
A19031190005,31,190,2,,7/29/2019,28,1,BH,,1.3
A19031232005,31,232,3,,10/9/2019,31,1,KF,,4.9
A19032155003,32,155,1,,6/24/2019,43,1,BH,,1.3
A19032198005,32,198,2,,7/31/2019,48,1,KF,,2.1
A19032239006,32,239,3,,10/19/2019,32,2,KF,,3.2
A19033149001,33,149,1,,6/18/2019,41,1,BH,,6.3
A19033203006,33,203,2,,8/14/2019,30,3,BH,,5.8
A19033246002,33,246,3,,10/24/2019,20,2,BH,,5.6
A19034156001,34,156,1,,6/25/2019,67,4,BH,,1.5
A19034197006,34,197,2,,8/1/2019,38,3,BH,,2.3
A19034241003,34,241,3,,10/11/2019,44,1,KF,,1.7
A19035177002,35,177,1,,7/10/2019,52,1,BH,,3.5
A19035225001,35,225,2,,9/6/2019,24,1,KF,,1.7
A19035265005,35,265,3,,12/1/2019,19,1,KF,,2.1
A19036150003,36,150,1,,6/13/2019,60,2,BH,,5.4
A19036204007,36,204,2,,8/15/2019,33,2,BH,,4.8
A19036247004,36,247,3,,10/24/2019,56,2,BH,,4.6
A19037161005,37,161,1,,7/2/2019,92,1,BH,,2.5
A19037210010,37,210,2,,8/16/2019,43,1,BH,,3
A19037252101,37,251,3,,11/5/2019,21,1,BH,,3.8
A19038176011,38,176,1,,7/11/2019,41,1,BH,,3.8
A19038224011,38,224,2,,9/17/2019,39,1,BH,,2.6
A19038266002,38,266,3,,,,,,,3.7
A19039177008,39,177,1,,7/11/2019,38,1,BH,,1.9
A19039224014,39,224,2,,9/11/2019,29,1,KF,,3.7
A19039268005,39,268,3,,12/5/2019,35,1,BH,,4.4
A190401218004,40,218,2,,8/23/2019,33,1,KF,,1.5
A19040169003,40,169,1,,7/3/2019,39,2,BH,,1.9
A19040261001,40,261,3,,11/21/2019,33,1,BH,,3.2
A19041162010,41,162,1,,7/2/2019,58,1,BH,,1.6
A19041211013,41,211,2,,8/23/2019,58,1,KF,,5.5
A19041251001,41,251,3,,11/1/2019,41,1,KF,,5.1
A19042162002,42,162,1,,6/28/2019,53,1,KC,,3
A19042211012,42,211,2,,8/21/2019,35,1,BH,,4.2
A19042251012,42,251,3,,11/6/2019,32,1,KF,,5
A19043169001,43,169,1,,7/8/2019,48,3,BH,,1.2
A19043219002,43,219,2,,8/27/2019,29,1,BH,,2.3
A19043258003,43,258,3,,11/22/2019,28,1,KF,,5.5
A19044170002,44,170,1,,7/10/2019,42,2,BH,,2
A19044217002,44,217,2,,8/23/2019,22,2,KF,,3
A19044261004,44,261,3,,11/25/2019,41,2,KF,,5.3
A19046155004,46,155,1,,6/24/2019,52,1,BH,,1.3
A19046198004,46,198,2,,7/31/2019,61,2,BH,,2
A19046239009,46,239,3,,10/12/2019,39,1,KF,,3.5
A19047154008,47,154,1,,6/25/2019,29,1,BH,,1.44
A19047196002,47,196,2,,8/1/2019,41,1,BH,,1.3
A19047238003,47,238,3,,10/15/2019,35,1,BH,,1.6
A19048150002,48,150,1,,6/13/2019,90,1,BH,,2.2
A19048204006,48,204,2,,8/8/2019,34,1,BH,,2
A19048247003,48,247,3,,10/23/2019,41,1,KF,,1.9
A19049168009,49,168,1,,7/5/2019,64,1,BH,,2.7
A19049217006,49,217,2,,8/28/2019,25,1,KF,,1.5
A19049258004,49,258,3,,11/18/2019,43,1,BH,,4
A19050154009,50,154,1,,6/24/2019,43,3,KC,,1.8
A19050196005,50,196,2,,8/6/2019,43,5,BH,,1.5
A19050238004,50,238,3,,10/18/2019,40,1,KF,,3.1
A19051155005,51,155,1,,6/19/2019,48,1,BH,,2.1
A19051189002,51,198,2,,8/2/2019,33,2,BH,,2.6
A19051239008,51,239,3,,10/17/2019,29,2,BH,,4.6
A19052162003,52,162,1,,7/2/2019,62,2,BH,,3.6
A19052211006,52,211,2,,8/19/2019,35,2,BH,,4.2
A19052251004,52,251,3,,11/7/2019,32,1,BH,,5.8
A19053177003,53,177,1,,7/11/2019,42,1,KF,,3
A19053225002,53,225,2,,9/5/2019,37,1,BH,,4.4
A19053265004,53,265,3,,12/3/2019,37,1,BH,,4.4
A19054127005,54,217,2,,8/23/2019,29,1,BH,,2.5
A19054168008,54,168,1,,7/9/2019,112,1,BH,,3.6
A19054260004,54,260,3,,11/25/2019,43,3,KF,,3.7
A19056176003,56,176,1,,7/12/2019,43,1,BH,,3.1
A19056224003,56,224,2,,9/17/2019,31,1,BH,,2.4
A19056267003,56,267,3,,,,,,,3.1
A19057162009,57,162,1,,6/28/2019,40,1,BH,,6.2
A19057210011,57,210,2,,8/15/2019,58,2,BH,,5.2
A19057251003,57,251,3,,11/4/2019,46,2,BH,,6.4
A19058169002,58,169,1,,7/9/2019,30,2,BH,,1.5
