sampleID,lake,year,doy,taxon,group,season,count,density.areal,avg_biomass_ug,biomass_g
A19012140,12,2019,140,Bosmina,Bosmina,spring,8,39646.017699115044,0.719500794966674,7.19500794966674e-7
A19012140,12,2019,140,Daphnia,Daphnia,spring,16,79292.03539823009,1.6939936882560338,1.693993688256034e-6
A19012140,12,2019,140,Cyclopoida,Cyclopoid,spring,36,178407.0796460177,0.7320530589668516,7.320530589668516e-7
A19012140,12,2019,140,Nauplii,Nauplii,spring,19,94159.29203539825,0.15116327943323848,1.5116327943323847e-7
A19012140,12,2019,140,Keratella.cochlearis,Rotifer,spring,20,99115.04424778763,0.0028957070225,2.8957070225e-9
A19012140,12,2019,140,Polyarthra,Rotifer,spring,1,4955.7522123893805,0.10019454726400003,1.0019454726400003e-7
A19012189,12,2019,189,Bosmina,Bosmina,summer,59,271504.42477876105,0.7109857066260522,7.109857066260522e-7
A19012189,12,2019,189,Chydorus,Chydorid,summer,1,4601.769911504424,0.7099864973246781,7.099864973246781e-7
A19012189,12,2019,189,Daphnia,Daphnia,summer,10,46017.699115044255,1.4666429477225507,1.4666429477225506e-6
A19012189,12,2019,189,Calanoida,Calanoid,summer,8,36814.159292035394,7.2921221041945765,7.292122104194577e-6
A19012189,12,2019,189,Cyclopoida,Cyclopoid,summer,43,197876.10619469025,3.9801547325358104,3.98015473253581e-6
A19012189,12,2019,189,Nauplii,Nauplii,summer,52,239292.03539823007,0.08967561551088328,8.967561551088328e-8
A19012189,12,2019,189,Asplanchna,Rotifer,summer,2,9203.539823008849,0.688312570555545,6.88312570555545e-7
A19012189,12,2019,189,Keratella.cochlearis,Rotifer,summer,27,124247.78761061946,9.798293514400001e-4,9.798293514400002e-10
A19012189,12,2019,189,Polyarthra,Rotifer,summer,7,32212.389380530974,0.039426739958666676,3.9426739958666674e-8
A19012231,12,2019,231,Bosmina,Bosmina,summer,42,122654.86725663718,0.705979323132145,7.059793231321449e-7
A19012231,12,2019,231,Ceriodaphnia,Ceriodaphnia,summer,61,178141.59292035399,1.5153578718751077,1.5153578718751077e-6
A19012231,12,2019,231,Chydorus,Chydorid,summer,4,11681.415929203542,1.2658370138750463,1.2658370138750464e-6
A19012231,12,2019,231,Daphnia,Daphnia,summer,35,102212.38938053098,2.118607680804767,2.118607680804767e-6
A19012231,12,2019,231,Diaphanosoma,Lg.Cladocera,summer,7,20442.477876106193,1.6275569362247482,1.627556936224748e-6
A19012231,12,2019,231,Calanoida,Calanoid,summer,14,40884.95575221239,6.677191952589223,6.677191952589223e-6
A19012231,12,2019,231,Cyclopoida,Cyclopoid,summer,40,116814.1592920354,2.1815557316706062,2.181555731670606e-6
A19012231,12,2019,231,Nauplii,Nauplii,summer,14,40884.95575221239,0.19077069692214393,1.9077069692214393e-7
A19012231,12,2019,231,Keratella.cochlearis,Rotifer,summer,81,236548.67256637168,0.0016859852964800001,1.6859852964800002e-9
