column_ID,Description
sampleid,Sample identification - P-18-012-243-001 = Project-Year-LakeID-DOY-Sample Number
sample,Sample Number within lake and within year 
lake,Lake ID based on ALM Lake database 
year,Year of sample collection
family,Taxa identification down to family or order 
count,Number of individuals identified 
sample_area,Area of Ekman (0.023) or Ponar (0.052) dredge. Combined samples include the sum of sample area 
Gear,Ekman or Ponar dredge 
combined_sites,Number of sites combined into one sampling bucket and collated into one sample
density,number of organisms (#) per square meter (m^2) 
