Lake,Date,Year,Lake.Yr,BIB,Black Knob Map Turtle,BLB,BLC,BLG,BRB,CCF,COC,CSH,EMS,FWD,GOS,GSF,GZS,HSX,LMB,Madtom,NOP,OSS,Painted Turtle,PKS,Snapping Turtle,SNG,Softshell Turtle,Spotfin shiner,STS,WAE,WHB,WHC,WHS,WHX,YEB,YEP,YLB
Blue,10/14/2020,2020,Blue.2020,0,0.166666667,0,12.5,67,0,0.5,0.5,0,0,0,0,0.166666667,0,0.333333333,0,0,0.833333333,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue,10/15/2019,2019,Blue.2019,0,0,0,33.66666667,46.83333333,0,0.666666667,0.333333333,0,0,0,0,0.333333333,0,0.166666667,0.5,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Center,10/11/2020,2020,Center.2020,0,0,0.5,9.833333333,85,0.5,0,0.166666667,0.166666667,0.166666667,0,0.333333333,0.166666667,0,0,0.166666667,0,0,0,9.5,0.166666667,1.166666667,0,0,0,0,3,0,0,0,0,3.5,0.333333333,0.666666667
Center,10/26/2019,2019,Center.2019,0,0,0,8,7.666666667,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0.166666667,0.166666667,0,0,0,0,0,1,0,0.333333333,0,0,0.833333333,0,2.833333333
Center,9/16/2018,2018,Center.2018,0.666666667,0,0.166666667,13,18.66666667,0,0,0.5,0,0,0,2,0,0,0,0.166666667,0,0,0,0.333333333,0,0,1.166666667,0,0,0,2.166666667,0,0.5,0,0,1.666666667,0.5,0
Five Island,9/16/2018,2018,Five Island.2018,0.111111111,0,0.222222222,4.444444444,4.666666667,0,0.222222222,0.111111111,0,0,0,0,0,0,0,0.111111111,0,0.111111111,0.111111111,0.222222222,0,0.222222222,0,0.222222222,0,0,0.555555556,0,5.111111111,0,0,0,2.333333333,2.444444444
Five Island,9/26/2020,2020,Five Island.2020,0.111111111,0,0,2.777777778,69.11111111,0,0.222222222,0.111111111,0,0,0,0,0.222222222,0,0,0.444444444,0,0.111111111,0,0.333333333,0.222222222,0,0,0,0,0,0.333333333,0,0.444444444,0,0,1.111111111,10.22222222,15.66666667
North Twin,10/8/2019,2019,North Twin.2019,0,0,39.5,0,7.75,0,0,0,0,0,0.25,0,0.125,0,0.125,0,0,0,0,0.125,0,0,0,0,0,0,2.125,0,28.625,0,0.125,3.75,0.25,3.375
North Twin,10/9/2020,2020,North Twin.2020,0,0,4.625,0.125,11.125,0,0,0,0,0,0.125,0,1,0,0.5,0,0,0,0,0.375,0,0.375,0,0,0,0,0,0,8.875,0,0,5.25,1.25,1.625
North Twin,9/18/2018,2018,North Twin.2018,0.875,0,4.125,0.125,14.25,0,0.375,1.75,0,0,0.25,0,0.125,0,0.875,0,0,0,0.125,0.125,0,0,0,0,0.125,0,4.75,0,20.625,0,0,1.25,0.125,0.25
