year,lake,season,DENS_LOG,BINMID_LOG,remov
2018,Storm,spring,14.80960809,-26.4150375,0
2018,Storm,spring,19.94035116,-25.4150375,0
2018,Storm,spring,13.61728054,-24.4150375,0
2018,Storm,spring,15.00863003,-23.4150375,0
2018,Storm,spring,16.21572627,-22.4150375,0
2018,Storm,spring,20.68170073,-21.4150375,0
2018,Storm,spring,17.49059467,-20.4150375,0
2018,Storm,spring,19.84433712,-19.4150375,0
2018,Storm,spring,14.93920863,-18.4150375,0
2018,Storm,spring,16.57997292,-17.4150375,0
2018,Storm,spring,18.40858102,-16.4150375,0
2018,Storm,spring,18.09802808,-15.4150375,0
2018,Storm,spring,16.58582565,-14.4150375,0
2018,Storm,spring,11.67698678,-13.4150375,0
2018,Storm,summer,14.71546093,-26.4150375,0
2018,Storm,summer,13.31302347,-25.4150375,0
2018,Storm,summer,15.1257449,-22.4150375,0
2018,Storm,summer,14.91047691,-21.4150375,0
2018,Storm,summer,17.33017077,-20.4150375,0
2018,Storm,summer,18.4333177,-19.4150375,0
2018,Storm,summer,10.99109537,-18.4150375,0
2018,Storm,summer,16.05249592,-17.4150375,0
2018,Storm,summer,15.39827075,-16.4150375,0
2018,Storm,summer,19.46029477,-15.4150375,0
2018,South.Twin,spring,14.77131417,-26.4150375,0
2018,South.Twin,spring,21.42409108,-25.4150375,0
2018,South.Twin,spring,13.82508542,-22.4150375,0
2018,South.Twin,spring,18.92131847,-20.4150375,0
2018,South.Twin,spring,18.01731809,-19.4150375,0
2018,South.Twin,spring,17.86947954,-18.4150375,0
2018,South.Twin,spring,21.43056494,-17.4150375,0
2018,South.Twin,spring,18.76731382,-16.4150375,0
2018,South.Twin,spring,18.86841285,-15.4150375,0
2018,South.Twin,spring,12.77131417,-13.4150375,0
2018,South.Twin,summer,15.68185254,-26.4150375,0
2018,South.Twin,summer,17.46612385,-25.4150375,0
2018,South.Twin,summer,13.71546093,-22.4150375,0
2018,South.Twin,summer,17.33326669,-21.4150375,0
2018,South.Twin,summer,19.62708945,-20.4150375,0
2018,South.Twin,summer,13.00669223,-19.4150375,0
2018,South.Twin,summer,18.4333177,-18.4150375,0
2018,South.Twin,summer,19.60995962,-17.4150375,0
2018,South.Twin,summer,16.25869631,-16.4150375,0
2018,South.Twin,summer,14.59165473,-15.4150375,0
2018,Center,spring,19.94933285,-26.4150375,1
2018,Center,spring,17.46188685,-25.4150375,1
2018,Center,spring,12.13995876,-23.4150375,1
2018,Center,spring,14.88959818,-22.4150375,1
2018,Center,spring,12.13995876,-21.4150375,1
2018,Center,spring,18.69243951,-20.4150375,1
2018,Center,spring,17.86681134,-19.4150375,1
2018,Center,spring,14.54434901,-18.4150375,1
2018,Center,spring,18.07393863,-17.4150375,1
2018,Center,spring,19.06255774,-16.4150375,1
2018,Center,spring,17.94427962,-15.4150375,1
2018,Center,spring,17.18435288,-14.4150375,1
2018,Center,summer,17.13995876,-26.4150375,1
2018,Center,summer,12.05249592,-23.4150375,1
2018,Center,summer,14.28131461,-22.4150375,1
2018,Center,summer,14.31928246,-21.4150375,1
2018,Center,summer,18.37667646,-20.4150375,1
2018,Center,summer,16.93819229,-19.4150375,1
2018,Center,summer,13.24889313,-18.4150375,1
2018,Center,summer,17.40564274,-17.4150375,1
2018,Center,summer,16.99501042,-16.4150375,1
2018,Center,summer,16.14172569,-15.4150375,1
2019,Five.Island,spring,20.45070518,-26.4150375,1
2019,Five.Island,spring,17.32084297,-21.4150375,1
2019,Five.Island,spring,17.58387738,-20.4150375,1
2019,Five.Island,spring,12.22242092,-17.4150375,1
2019,Five.Island,spring,16.2940819,-16.4150375,1
2019,Five.Island,spring,16.54434901,-15.4150375,1
2019,Five.Island,spring,16.80738342,-14.4150375,1
2019,Five.Island,summer,17.37592604,-26.4150375,1
2019,Five.Island,summer,17.57213217,-24.4150375,1
2019,Five.Island,summer,18.94781874,-20.4150375,1
2019,Five.Island,summer,19.45355319,-16.4150375,1
2019,Five.Island,summer,19.06512046,-15.4150375,1
2019,North.Twin,spring,15.55499626,-26.4150375,1
2019,North.Twin,spring,21.70017919,-25.4150375,1
2019,North.Twin,spring,12.51192754,-24.4150375,1
2019,North.Twin,spring,15.30673721,-21.4150375,1
2019,North.Twin,spring,16.31928246,-20.4150375,1
2019,North.Twin,spring,18.4738595,-19.4150375,1
2019,North.Twin,spring,19.70772847,-17.4150375,1
2019,North.Twin,spring,17.42172973,-16.4150375,1
2019,North.Twin,spring,13.13995876,-15.4150375,1
2019,North.Twin,summer,18.37066209,-25.4150375,1
2019,North.Twin,summer,14.60195974,-23.4150375,1
2019,North.Twin,summer,12.93513897,-22.4150375,1
2019,North.Twin,summer,13.93513897,-20.4150375,1
2019,North.Twin,summer,18.353611,-19.4150375,1
2019,North.Twin,summer,16.89798597,-18.4150375,1
2019,North.Twin,summer,18.06442198,-17.4150375,1
2019,North.Twin,summer,18.11093869,-16.4150375,1
2019,North.Twin,summer,18.44713724,-15.4150375,1
2019,North.Twin,summer,16.16102037,-14.4150375,1
