lake,year,season,doy,taxon,group,biomass_g,density.areal,type
105,2018,spring,136,Daphnia,Daphnia,3.3240893536910445e-6,148672.56637168146,zoop
105,2018,spring,136,Calanoida,Calanoid,3.7482874539261105e-6,21681.415929203544,zoop
105,2018,spring,136,Cyclopoida,Cyclopoid,1.8701881024393026e-6,58849.5575221239,zoop
105,2018,spring,136,Nauplii,Nauplii,1.3496480909884325e-7,105309.73451327436,zoop
105,2018,spring,136,Keratella.quadrata,Rotifer,1.3607797603949998e-7,6194.690265486728,zoop
105,2018,spring,151,Daphnia,Daphnia,1.582840706742463e-6,50442.477876106204,zoop
105,2018,spring,151,Calanoida,Calanoid,3.554350766006994e-6,25221.238938053102,zoop
105,2018,spring,151,Cyclopoida,Cyclopoid,4.426065122609539e-7,15132.743362831861,zoop
105,2018,spring,151,Nauplii,Nauplii,1.6217092099499918e-7,70619.46902654869,zoop
105,2018,spring,151,Keratella.cochlearis,Rotifer,1.8212381946666668e-9,7566.371681415931,zoop
105,2018,spring,151,Pompholyx,Rotifer,1.9536289500000002e-7,5044.2477876106195,zoop
105,2018,spring,164,Daphnia,Daphnia,2.6439328867196463e-6,6902.654867256638,zoop
105,2018,spring,164,Calanoida,Calanoid,3.850833045130348e-6,103539.82300884956,zoop
105,2018,spring,164,Cyclopoida,Cyclopoid,7.49367114898867e-7,34513.27433628319,zoop
105,2018,spring,164,Nauplii,Nauplii,1.6333276839845235e-7,110442.4778761062,zoop
105,2018,spring,178,Daphnia,Daphnia,5.900547583046778e-6,6769.911504424781,zoop
105,2018,spring,178,Calanoida,Calanoid,5.19054674002716e-6,35353.98230088496,zoop
105,2018,spring,178,Nauplii,Nauplii,1.779623005459494e-7,9026.548672566374,zoop
105,2018,summer,192,Daphnia,Daphnia,1.561100364087005e-5,16371.681415929203,zoop
105,2018,summer,192,Calanoida,Calanoid,2.6041640517554925e-6,52389.38053097345,zoop
105,2018,summer,192,Cyclopoida,Cyclopoid,4.0289845076362495e-7,6548.672566371682,zoop
105,2018,summer,192,Nauplii,Nauplii,2.1116147748242855e-7,65486.72566371681,zoop
105,2018,summer,192,Keratella.cochlearis,Rotifer,2.348262891e-9,3274.336283185841,zoop
105,2018,summer,192,Pompholyx,Rotifer,2.1310937512500006e-8,3274.336283185841,zoop
105,2018,summer,206,Daphnia,Daphnia,8.569271363875009e-6,49144.542772861365,zoop
105,2018,summer,206,Calanoida,Calanoid,3.1860616557354705e-6,46253.687315634226,zoop
105,2018,summer,206,Cyclopoida,Cyclopoid,8.750477707468134e-7,2890.855457227139,zoop
105,2018,summer,220,Daphnia,Daphnia,1.1329291129512632e-5,18879.056047197646,zoop
105,2018,summer,220,Calanoida,Calanoid,4.008898365281838e-6,63716.81415929205,zoop
105,2018,summer,220,Cyclopoida,Cyclopoid,1.1860948506413487e-6,7079.646017699117,zoop
105,2018,summer,220,Nauplii,Nauplii,1.1739059280052172e-7,37758.11209439529,zoop
105,2019,spring,155,Daphnia,Daphnia,2.2540675707957972e-6,84985.25073746312,zoop
105,2019,spring,155,Calanoida,Calanoid,5.457520544245872e-6,35516.22418879056,zoop
105,2019,spring,169,Daphnia,Daphnia,3.5903224098722597e-6,23008.849557522124,zoop
105,2019,spring,169,Calanoida,Calanoid,2.912850013255662e-6,104424.77876106194,zoop
105,2019,spring,169,Cyclopoida,Cyclopoid,2.2272635186990553e-6,3539.823008849558,zoop
105,2019,spring,169,Nauplii,Nauplii,1.4014916274500592e-7,5309.734513274336,zoop
