sampleID,lake,doy,year,season,group,taxon,biomass
A18012134004,Blue,134,2018,spring,Rotifer,Asplanchna,14.30492601
A18012134004,Blue,134,2018,spring,Cladocera,Bosmina,184.0447734
A18012134004,Blue,134,2018,spring,Calanoid,Calanoida,65.2111811
A18012134004,Blue,134,2018,spring,Cladocera,Chydorus,36.28903219
A18012134004,Blue,134,2018,spring,Cyclopoid,Cyclopoida,272.3895779
A18012134004,Blue,134,2018,spring,Cladocera,Daphnia,130.7623523
A18012134004,Blue,134,2018,spring,Rotifer,Keratella.cochlearis,0.374382315
A18012134004,Blue,134,2018,spring,Rotifer,Keratella.quadrata,0.757797268
A18012134004,Blue,134,2018,spring,Nauplii,Nauplii,12.07431038
A19012140010,Blue,140,2019,spring,Rotifer,Keratella.cochlearis,0.130458241
A19012140010,Blue,140,2019,spring,Rotifer,Polyarthra,0.225699704
A19012140010,Blue,140,2019,spring,Nauplii,Nauplii,6.469739715
A19012140010,Blue,140,2019,spring,Cladocera,Bosmina,12.96606421
A19012140010,Blue,140,2019,spring,Cyclopoid,Cyclopoida,59.36520382
A19012140010,Blue,140,2019,spring,Cladocera,Daphnia,61.05463977
A19012189012,Blue,189,2019,summer,Rotifer,Keratella.cochlearis,0.052931143
A19012189012,Blue,189,2019,summer,Rotifer,Polyarthra,0.552186739
A19012189012,Blue,189,2019,summer,Cladocera,Chydorus,1.420519348
A19012189012,Blue,189,2019,summer,Rotifer,Asplanchna,2.754309632
A19012189012,Blue,189,2019,summer,Nauplii,Nauplii,9.329852418
A19012189012,Blue,189,2019,summer,Cladocera,Daphnia,29.34414516
A19012189012,Blue,189,2019,summer,Cladocera,Bosmina,83.92859361
A19012189012,Blue,189,2019,summer,Calanoid,Calanoida,116.7188455
A19012189012,Blue,189,2019,summer,Cyclopoid,Cyclopoida,342.4250089
P20012195,Blue,195,2020,summer,Cladocera,Alona,0
P20012195,Blue,195,2020,summer,Cladocera,Alonella,0
P20012195,Blue,195,2020,summer,Cladocera,Bosmina,113.5361979
P20012195,Blue,195,2020,summer,Cladocera,Camptocercus,0
P20012195,Blue,195,2020,summer,Cladocera,Ceriodaphnia,839.9890366
P20012195,Blue,195,2020,summer,Cladocera,Chydorus,35.29451316
P20012195,Blue,195,2020,summer,Cladocera,Daphnia,189.2492334
P20012195,Blue,195,2020,summer,Cladocera,Daphnia.lumholtzi,0
P20012195,Blue,195,2020,summer,Cladocera,Diaphanosoma,0
P20012195,Blue,195,2020,summer,Cladocera,Graptoleberis,0
P20012195,Blue,195,2020,summer,Cladocera,Leptodora,0
P20012195,Blue,195,2020,summer,Cladocera,Moina,0
P20012195,Blue,195,2020,summer,Cladocera,Pleuroxus,0
P20012195,Blue,195,2020,summer,Cladocera,Scapholeberis,0
P20012195,Blue,195,2020,summer,Cladocera,Simocephalus,0
P20012195,Blue,195,2020,summer,Calanoid,Calanoida,544.8127579
P20012195,Blue,195,2020,summer,Cyclopoid,Cyclopoida,819.8621335
P20012195,Blue,195,2020,summer,Nauplii,Nauplii,100.9681688
P20012195,Blue,195,2020,summer,Rotifer,Anuraeopsis,0
P20012195,Blue,195,2020,summer,Rotifer,Ascomorpha,0
P20012195,Blue,195,2020,summer,Rotifer,Asplanchna,0
P20012195,Blue,195,2020,summer,Rotifer,Asplanchnopus,0
P20012195,Blue,195,2020,summer,Rotifer,Brachionus,1.87869118
P20012195,Blue,195,2020,summer,Rotifer,Conochilus,0
P20012195,Blue,195,2020,summer,Rotifer,Euchlanis,0
P20012195,Blue,195,2020,summer,Rotifer,Filinia,0
P20012195,Blue,195,2020,summer,Rotifer,Gastropus,0
P20012195,Blue,195,2020,summer,Rotifer,Hexarthra,0
P20012195,Blue,195,2020,summer,Rotifer,Kellicottia,0
P20012195,Blue,195,2020,summer,Rotifer,Keratella.cochlearis,3.003328174
P20012195,Blue,195,2020,summer,Rotifer,Keratella.quadrata,0
