lake,year,fish,biomass_kg.ha,lci_kg.ha,uci_kg.ha
Center,2018,carp,182.6712578,12.09859496,286.3320836
Center,2019,carp,45.43185156,0.692290175,89.95133369
Center,2020,carp,77.12547612,2.460102585,139.0849742
Five.Island,2018,carp,230.7544025,22.28736893,285.6082225
Five.Island,2019,carp,126.5756159,7.683308199,198.4042547
Five.Island,2020,carp,169.9090042,10.08529963,237.9678264
North.Twin,2018,carp,63.22324202,4.309819953,94.27020449
North.Twin,2019,carp,43.15744386,2.383047742,68.73358057
North.Twin,2020,carp,11.62696694,0.089271299,79.99353256
Silver,2018,carp,91.19765021,5.659218591,119.8376439
Silver,2019,carp,119.5327985,5.096637729,184.6917413
Silver,2020,carp,65.46551914,3.371174205,87.81119329
Center,2018,buffalo,81.34896405,6.26357777,127.5199977
Center,2019,buffalo,67.45709346,0.494492982,242.3327291
Center,2020,buffalo,105.2130078,10.57802904,151.3917443
Five.Island,2018,buffalo,20.19303036,0.19211217,39.98659424
Five.Island,2019,buffalo,9.706347045,0.055394307,66.77920158
Five.Island,2020,buffalo,24.6702539,0.176790341,52.37128218
North.Twin,2018,buffalo,504.1665917,21.23665022,790.246372
North.Twin,2019,buffalo,474.2105597,1.574646531,938.9456153
North.Twin,2020,buffalo,32.03329958,0.22069849,115.1027036
Silver,2018,buffalo,86.38539577,0.316855888,202.3081785
Silver,2019,buffalo,31.49676436,0.098074441,216.6997946
Silver,2020,buffalo,13.48982753,0.342721674,23.52851655
