year,lake,season,outlierpres,n,slope,slp_se,slp_l95ci,slp_u95ci,intcpt,int_se,int_l95ci,int_u95CI
2018,Storm,spring,N,14,-0.058351589627137566,0.17696530369224303,-0.443925863717754,0.3272226844634789,15.544842453292537,3.595744757023392,7.710387644481301,23.379297262103773
2018,Storm,summer,N,10,0.2636448988761096,0.21740030846561023,-0.2376811114402489,0.7649709091924681,20.928991157345365,4.480718711825248,10.596435279189658,31.261547035501074
2018,South.Twin,spring,N,10,-0.03442891132773055,0.24866578869291683,-0.6078532483374022,0.5389954256819411,16.994739758792633,4.954173248529772,5.570395761165122,28.419083756420143
2018,South.Twin,summer,N,10,0.032571802674505115,0.2249931417030134,-0.4862633124852208,0.551406917834231,17.234108796023296,4.637210439931433,6.540682345729481,27.927535246317113
2018,Center,spring,N,12,0.11089547025393533,0.21082904552131787,-0.35886091719929575,0.5806518577071664,18.889425371408937,4.305235784575707,9.296762252834194,28.48208848998368
2018,Center,summer,Y,9,0.4257157291669885,0.24675301675939618,-0.15776243841596027,1.0091938967499372,23.794090592800256,4.832897983183365,12.366102816291018,35.22207836930949
2019,Five.Island,spring,N,7,-0.36725450708462054,0.20031941795234182,-0.8821919641981493,0.14768295002890824,9.825836946958256,3.854177035192228,-0.0816405310335071,19.73331442495002
2019,Five.Island,summer,N,5,0.18403707169043473,0.038332903518183255,0.0620446645181956,0.30602947886267384,22.276841252875002,0.8073056650786543,19.707634321810833,24.84604818393917
2019,North.Twin,spring,N,9,-0.03246950663803938,0.2818718891385451,-0.6989906115373157,0.6340515982612369,16.00813275749985,5.944203755133507,1.9523244017022687,30.06394111329743
2019,North.Twin,summer,Y,9,0.47748918793871303,0.1849759595609723,0.04009054799919198,0.9148878278782341,25.288795891694793,3.488857026407697,17.03895995671127,33.53863182667831
2019,Silver,spring,Y,5,0.9602235073760734,0.8107547525867748,-1.6199599594849146,3.5404069742370616,30.253528250292778,14.349432588307982,-15.412770473285594,75.91982697387115
2019,Silver,summer,Y,7,0.8252672779212543,0.16931842449551293,0.3900204114745301,1.2605141443679786,29.838162155402994,3.164828344692542,21.702711899629403,37.97361241117659
2020,Storm,spring,N,10,0.16300028125855975,0.15669228820659603,-0.19833278330045373,0.5243333458175732,15.878347511821953,3.1264988158341196,8.668628313797544,23.088066709846363
2020,Storm,summer,Y,7,-0.47012949497555917,0.18474548626914203,-0.9450328861948136,0.004773896243695341,5.283432112211927,3.7986374596590795,-4.481276341755373,15.048140566179228
2020,South.Twin,spring,N,11,-0.009820790016922347,0.15024111072412802,-0.34968979478826673,0.3300482147544221,16.466012312496908,2.9890878714216056,9.704225773927282,23.22779885106653
2020,South.Twin,summer,Y,5,-0.5352821383607703,0.3794497379299805,-1.7428605548769083,0.6722962781553675,5.128058575053124,6.715826725289065,-16.244699373768647,26.500816523874896
2020,Center,spring,Y,10,0.279393616861214,0.19931703988397348,-0.1802323013278826,0.7390195350503106,19.6891557399531,3.813308705887725,10.89565009536596,28.482661384540243
2020,Center,summer,Y,9,0.09266435941749507,0.20857283943911137,-0.40053203494379547,0.5858607537787857,16.136255058519634,4.085102051882917,6.476523676405847,25.79598644063342
2018,Five.Island,spring,N,11,0.24247319908470213,0.20611919431371428,-0.22380081272226157,0.7087472108916658,21.284261520242676,4.244641243848781,11.682215926961478,30.886307113523877
2018,Five.Island,summer,N,12,0.07843670112118886,0.15212226640389992,-0.2605128309055468,0.41738623314792445,17.422265402553442,3.1851805428374074,10.325240884466686,24.519289920640198
2018,North.Twin,spring,Y,7,0.5414721626614939,0.4718657413059441,-0.6714973407986297,1.7544416661216173,24.801022424486597,8.819914769606102,2.128709725876707,47.47333512309649
2018,North.Twin,summer,N,7,-0.025484725207117434,0.2425104966958325,-0.6488778029645647,0.5979083525503298,14.673825718611145,5.005012969752367,1.808030291441547,27.539621145780742
2018,Silver,spring,N,9,0.4553014048638714,0.29526664231937333,-0.24289325825089092,1.1534960679786337,23.43368719175906,5.864306798503822,9.566805117236486,37.300569266281634
2018,Silver,summer,N,11,0.3831205661768762,0.14646097767380234,0.05180281646165624,0.7144383158920962,21.10659411288644,2.771140013403751,14.837839882448431,27.37534834332445
2019,Storm,spring,N,12,0.04453855593540175,0.1568041891741025,-0.3048429501176215,0.393920061988425,14.762337170297887,3.1474915526827854,7.7492889554667705,21.775385385129002
2019,Storm,summer,N,10,-0.16389236023177167,0.20495812115531864,-0.6365266351596129,0.3087419146960696,11.173775695846116,4.320222513321265,1.2113247151251425,21.13622667656709
2019,South.Twin,spring,N,8,-0.5818480714052432,0.33436921690078386,-1.4000200708978336,0.23632392808734726,5.3288147603358125,6.526326282430916,-10.640530364583281,21.298159885254908
2019,South.Twin,summer,N,8,-0.09337837122683856,0.18476097653749343,-0.5454721943455487,0.35871545189187165,15.433643484095658,3.7015881080833664,6.3761836743691855,24.49110329382213
2019,Center,spring,N,8,0.3654631079938231,0.17618998209894807,-0.06565824725711283,0.796584463244759,22.32666573307455,3.3869225483937426,14.03916481049978,30.614166655649317
2019,Center,summer,N,12,-0.06304690556792067,0.1754336378789297,-0.45393741007125477,0.32784359893541337,13.427930994137105,3.631326221246087,5.336831956342197,21.51903003193201
2020,Five.Island,spring,N,8,-0.21465057311980631,0.23580153400290554,-0.7916361411896792,0.3623349949500666,12.440246522586301,4.434024268547491,1.590579991613044,23.28991305355956
2020,Five.Island,summer,N,11,-0.2109714614794824,0.1962687452464524,-0.6549622093721608,0.233019286413196,13.001797664803957,3.8607797393112278,4.268107123534879,21.735488206073036
