year,lake,season,outlierpres,n,fitmin,fitmax,slope,slp_se,slp_l95ci,slp_u95ci,intcpt,int_se,int_l95ci,int_u95CI,height,height.overall
2018,Blue,summer,N,13,-29.4150375,-4.415037499,-0.669659039,0.106603039,-0.904290746,-0.435027333,1.958847051,1.972737992,-2.383119994,6.300814096,13.28615482,12.33856216
2019,Blue,summer,N,14,-29.4150375,-4.415037499,-0.758960337,0.116086193,-1.011890425,-0.506030249,-1.304674012,2.105955385,-5.893156624,3.2838086,11.53316855,10.45921121
2020,Blue,summer,N,17,-28.4150375,-6.415037499,-0.753866384,0.122650679,-1.015290117,-0.492442651,-1.401494971,2.503398407,-6.737362367,3.934372425,11.72711637,10.28343398
2018,Center,summer,N,12,-29.4150375,-6.415037499,-0.393513401,0.114542439,-0.648729859,-0.138296943,4.636523142,2.316518479,-0.525001683,9.798047967,11.68633048,10.73598086
2019,Center,summer,N,13,-29.4150375,-6.415037499,-0.580999215,0.134854333,-0.8778116,-0.28418683,1.134000729,2.669970948,-4.742565706,7.010567164,11.54262345,10.13948856
2020,Center,summer,N,11,-29.4150375,-8.415037499,-0.778600234,0.138343381,-1.091554704,-0.465645763,-3.194649196,2.714784717,-9.335918889,2.946620497,11.53260342,8.873654425
2018,Five.Island,summer,N,14,-29.4150375,-6.415037499,-0.508393352,0.072129334,-0.66554967,-0.351237033,3.054275247,1.335180429,0.145166999,5.963383495,12.16216121,10.9343722
2019,Five.Island,summer,N,10,-29.4150375,-6.415037499,-0.516712512,0.12940869,-0.815129487,-0.218295537,4.007757421,2.795268916,-2.438144257,10.4536591,13.26468145,12.01680136
2020,Five.Island,summer,N,17,-28.4150375,-6.415037499,-0.672282066,0.091052462,-0.866355795,-0.478208336,-0.196485991,1.817575451,-4.070556359,3.677584378,11.51133139,10.22388603
2018,North.Twin,summer,N,11,-30.4150375,-8.415037499,-0.583074216,0.13427702,-0.886829939,-0.279318493,1.530107888,2.514740364,-4.158630039,7.218845816,12.85051566,10.56775824
2019,North.Twin,summer,N,12,-29.4150375,-6.415037499,-0.545777694,0.114412477,-0.800704579,-0.29085081,2.597044924,2.281016557,-2.485376689,7.679466537,12.37467279,11.05659919
2020,North.Twin,summer,N,11,-29.4150375,-10.4150375,-0.798012821,0.220577904,-1.296994706,-0.299030937,-3.489588115,4.33846261,-13.30387238,6.324696155,12.40286715,8.879610618
2018,Silver,summer,N,19,-28.4150375,-0.415037499,-0.38143537,0.096395774,-0.584812675,-0.178058065,4.739365764,1.665760831,1.224917613,8.253813915,10.23777093,10.65161401
2019,Silver,summer,Y,12,-23.4150375,-5.415037499,-0.801770023,0.132894833,-1.097878163,-0.505661884,-1.723408885,2.028562264,-6.243327278,2.796509508,7.82971101,10.70402648
2020,Silver,summer,N,15,-28.4150375,-5.415037499,-0.724364163,0.0813062,-0.900015529,-0.548712797,-1.06127944,1.577920453,-4.470169329,2.347610449,11.19136754,10.16636508
2018,South.Twin,summer,Y,14,-28.4150375,-9.415037499,-0.706508049,0.110565773,-0.947410173,-0.465605925,-0.012454749,2.211621734,-4.831164557,4.806255058,13.70442551,10.93842001
2019,South.Twin,summer,N,14,-29.4150375,-4.415037499,-0.570553744,0.130356492,-0.854576141,-0.286531347,1.805842894,2.740998411,-4.166279611,7.777965399,11.45678087,10.64942593
2020,South.Twin,summer,N,8,-22.4150375,-9.415037499,-0.95114739,0.187433793,-1.409781359,-0.49251342,-5.335000756,3.232409606,-13.24442213,2.574420617,9.802545615,9.407783781
2018,Storm,summer,N,15,-29.4150375,-5.415037499,-0.499090162,0.115678887,-0.748999205,-0.24918112,3.716241202,2.135507178,-0.897241572,8.329723975,12.40791509,11.45213872
2019,Storm,summer,N,12,-30.4150375,-2.415037499,-0.471310896,0.069905031,-0.627069011,-0.31555278,3.153994542,1.286184671,0.288196505,6.019792579,10.89058057,10.45931342
2020,Storm,summer,Y,11,-29.4150375,-7.415037499,-0.594577747,0.073197256,-0.760161445,-0.428994049,0.134192575,1.480416665,-3.214742587,3.483127737,9.894208591,9.350147656
