year,lake,season,BINMID,BINMIN,BINMAX,avg.density.areal,BINMID_LOG,BINMIN_LOG,BINMAX_LOG,DENS_LOG
2018,Blue,summer,1.39698386192322e-9,9.31322574615479e-10,1.86264514923096e-9,1769911.504424779,-29.415037499278842,-30,-28.999999999999996,20.75524579668371
2018,Blue,summer,1.11758708953857e-8,7.45058059692383e-9,1.49011611938477e-8,123893.80530973453,-26.41503749927885,-27,-25.999999999999996,16.91874452896659
2018,Blue,summer,4.4703483581543e-8,2.98023223876953e-8,5.96046447753906e-8,663716.8141592921,-24.415037499278842,-25,-24,19.340208297404867
2018,Blue,summer,1.78813934326172e-7,1.19209289550781e-7,2.38418579101562e-7,601769.9115044249,-22.415037499278842,-23.000000000000004,-22.000000000000004,19.198852448159325
2018,Blue,summer,7.15255737304688e-7,4.76837158203125e-7,9.5367431640625e-7,159292.0353982301,-20.415037499278842,-21,-20,17.2813146083513
2018,Blue,summer,1.43051147460938e-6,9.5367431640625e-7,1.9073486328125e-6,548672.5663716815,-19.41503749927884,-20,-19,19.065585917295863
2018,Blue,summer,2.86102294921875e-6,1.9073486328125e-6,3.814697265625e-6,117994.10029498526,-18.415037499278842,-19,-18,16.848355201075194
2018,Blue,summer,4.57763671875e-5,3.0517578125e-5,6.103515625e-5,155.2795031,-14.415037499278844,-15,-14,7.2787235962702574
2018,Blue,summer,9.1552734375e-5,6.103515625e-5,1.220703125e-4,86.95652174,-13.415037499278844,-14,-13,6.4422223286195015
2018,Blue,summer,1.8310546875e-4,1.220703125e-4,2.44140625e-4,168.8448297768125,-12.415037499278844,-13,-12,7.39955419281242
2018,Blue,summer,0.005859375,0.00390625,0.0078125,156.521739102,-7.415037499278844,-8,-7,7.290219234897934
2018,Blue,summer,0.01171875,0.0078125,0.015625,278.260869554,-6.415037499278844,-7,-6,8.120294233659553
2018,Blue,summer,0.046875,0.03125,0.0625,87.17621745244445,-4.415037499278844,-5,-4,6.445862701871442
2018,Center,spring,6.98491930961609e-10,4.65661287307739e-10,9.31322574615479e-10,506194.6902654867,-30.415037499278842,-31,-30,18.94933284880001
2018,Center,spring,1.39698386192322e-9,9.31322574615479e-10,1.86264514923096e-9,31592.9203539823,-29.415037499278842,-30,-28.999999999999996,14.947313681163362
2018,Center,spring,2.79396772384644e-9,1.86264514923096e-9,3.72529029846191e-9,148938.0530973451,-28.415037499278842,-28.999999999999996,-28,17.18435287846421
2018,Center,spring,2.23517417907715e-8,1.49011611938477e-8,2.98023223876953e-8,15176.991150442478,-25.415037499278842,-25.999999999999996,-25,13.889598183307074
2018,Center,spring,1.78813934326172e-7,1.19209289550781e-7,2.38418579101562e-7,130070.796460177,-22.415037499278842,-23.000000000000004,-22.000000000000004,16.988937558464478
2018,Center,spring,3.57627868652344e-7,2.38418579101562e-7,4.76837158203125e-7,14203.53982300885,-21.415037499278842,-22.000000000000004,-21,13.793962904256565
2018,Center,spring,7.15255737304688e-7,4.76837158203125e-7,9.5367431640625e-7,58879.05604719765,-20.415037499278842,-21,-20,15.845466921750367
2018,Center,spring,1.43051147460938e-6,9.5367431640625e-7,1.9073486328125e-6,143539.82300884958,-19.41503749927884,-20,-19,17.131091521351536
2018,Center,spring,2.86102294921875e-6,1.9073486328125e-6,3.814697265625e-6,85752.21238938053,-18.415037499278842,-19,-18,16.38788627254934
2018,Center,spring,5.7220458984375e-6,3.814697265625e-6,7.62939453125e-6,71946.90265486727,-17.415037499278842,-18,-17,16.13464495920929
2018,Center,spring,1.1444091796875e-5,7.62939453125e-6,1.52587890625e-5,148938.0530973451,-16.415037499278842,-17,-16,17.18435287846421
2018,Center,summer,1.39698386192322e-9,9.31322574615479e-10,1.86264514923096e-9,48141.592920353985,-29.415037499278842,-30,-28.999999999999996,15.554996258384602
2018,Center,summer,1.11758708953857e-8,7.45058059692383e-9,1.49011611938477e-8,4247.787610619469,-26.41503749927885,-27,-25.999999999999996,12.052495917855417
2018,Center,summer,2.23517417907715e-8,1.49011611938477e-8,2.98023223876953e-8,10442.477876106195,-25.415037499278842,-25.999999999999996,-25,13.350176466496103
2018,Center,summer,4.4703483581543e-8,2.98023223876953e-8,5.96046447753906e-8,9026.548672566372,-24.415037499278842,-25,-24,13.139958759105758
2018,Center,summer,1.78813934326172e-7,1.19209289550781e-7,2.38418579101562e-7,115530.97345132743,-22.415037499278842,-23.000000000000004,-22.000000000000004,16.817920159447105
2018,Center,summer,7.15255737304688e-7,4.76837158203125e-7,9.5367431640625e-7,12300.884955752212,-20.415037499278842,-21,-20,13.58647448985777
2018,Center,summer,1.43051147460938e-6,9.5367431640625e-7,1.9073486328125e-6,77256.63716814159,-19.41503749927884,-20,-19,16.2373712607637
2018,Center,summer,2.86102294921875e-6,1.9073486328125e-6,3.814697265625e-6,49601.76991150442,-18.415037499278842,-19,-18,15.598103979939689
2018,Center,summer,4.57763671875e-5,3.0517578125e-5,6.103515625e-5,101.44927537,-14.415037499278844,-15,-14,6.664614750050754
2018,Center,summer,3.662109375e-4,2.44140625e-4,4.8828125e-4,165.217390429,-11.415037499278844,-12,-11,7.368221739517671
2018,Center,summer,0.00146484375,9.765625e-4,0.001953125,86.956521735,-9.415037499278844,-10,-9,6.442222328536546
2018,Center,summer,0.01171875,0.0078125,0.015625,371.9806763411111,-6.415037499278844,-7,-6,8.539083867906564
2018,Five.Island,spring,1.39698386192322e-9,9.31322574615479e-10,1.86264514923096e-9,115619.46902654867,-29.415037499278842,-30,-28.999999999999996,16.81902482645428
2018,Five.Island,spring,2.79396772384644e-9,1.86264514923096e-9,3.72529029846191e-9,24115.04424778761,-28.415037499278842,-28.999999999999996,-28,14.55764583679855
2018,Five.Island,spring,2.23517417907715e-8,1.49011611938477e-8,2.98023223876953e-8,14380.530973451328,-25.415037499278842,-25.999999999999996,-25,13.811829325050079
2018,Five.Island,spring,1.78813934326172e-7,1.19209289550781e-7,2.38418579101562e-7,103982.30088495574,-22.415037499278842,-23.000000000000004,-22.000000000000004,16.665978458586622
2018,Five.Island,spring,3.57627868652344e-7,2.38418579101562e-7,4.76837158203125e-7,21592.920353982296,-21.415037499278842,-22.000000000000004,-21,14.398270754697148
2018,Five.Island,spring,7.15255737304688e-7,4.76837158203125e-7,9.5367431640625e-7,143687.31563421828,-20.415037499278842,-21,-20,17.132573184253552
2018,Five.Island,spring,1.43051147460938e-6,9.5367431640625e-7,1.9073486328125e-6,147533.18584070794,-19.41503749927884,-20,-19,17.17067998255689
