year,lake,season,DENS_LOG,BINMID_LOG,DATAUSEDINFIT
2018,Blue,summer,20.75524579668371,-29.415037499278842,used
2018,Blue,summer,16.91874452896659,-26.41503749927885,used
2018,Blue,summer,19.340208297404867,-24.415037499278842,used
2018,Blue,summer,19.198852448159325,-22.415037499278842,used
2018,Blue,summer,17.2813146083513,-20.415037499278842,used
2018,Blue,summer,19.065585917295863,-19.41503749927884,used
2018,Blue,summer,16.848355201075194,-18.415037499278842,used
2018,Blue,summer,7.2787235962702574,-14.415037499278844,used
2018,Blue,summer,6.4422223286195015,-13.415037499278844,used
2018,Blue,summer,7.39955419281242,-12.415037499278844,used
2018,Blue,summer,7.290219234897934,-7.415037499278844,used
2018,Blue,summer,8.120294233659553,-6.415037499278844,used
2018,Blue,summer,6.445862701871442,-4.415037499278844,used
2018,Center,summer,15.554996258384602,-29.415037499278842,used
2018,Center,summer,12.052495917855417,-26.41503749927885,used
2018,Center,summer,13.350176466496103,-25.415037499278842,used
2018,Center,summer,13.139958759105758,-24.415037499278842,used
2018,Center,summer,16.817920159447105,-22.415037499278842,used
2018,Center,summer,13.58647448985777,-20.415037499278842,used
2018,Center,summer,16.2373712607637,-19.41503749927884,used
2018,Center,summer,15.598103979939689,-18.415037499278842,used
2018,Center,summer,6.664614750050754,-14.415037499278844,used
2018,Center,summer,7.368221739517671,-11.415037499278844,used
2018,Center,summer,6.442222328536546,-9.415037499278844,used
2018,Center,summer,8.539083867906564,-6.415037499278844,used
2018,Center,spring,18.94933284880001,-30.415037499278842,used
2018,Center,spring,14.947313681163362,-29.415037499278842,used
2018,Center,spring,17.18435287846421,-28.415037499278842,used
2018,Center,spring,13.889598183307074,-25.415037499278842,used
2018,Center,spring,16.988937558464478,-22.415037499278842,used
2018,Center,spring,13.793962904256565,-21.415037499278842,used
2018,Center,spring,15.845466921750367,-20.415037499278842,used
2018,Center,spring,17.131091521351536,-19.41503749927884,used
2018,Center,spring,16.38788627254934,-18.415037499278842,used
2018,Center,spring,16.13464495920929,-17.415037499278842,used
2018,Center,spring,17.18435287846421,-16.415037499278842,used
2018,Five.Island,summer,17.324477620955346,-29.415037499278842,used
2018,Five.Island,summer,14.528229348821815,-26.41503749927885,used
2018,Five.Island,summer,13.88538593202016,-25.415037499278842,used
2018,Five.Island,summer,13.94326684810066,-23.415037499278846,used
2018,Five.Island,summer,16.52597619352878,-22.415037499278842,used
2018,Five.Island,summer,14.75293563599651,-19.41503749927884,used
2018,Five.Island,summer,16.19375157646646,-18.415037499278842,used
2018,Five.Island,summer,14.475027953681186,-17.415037499278842,used
2018,Five.Island,summer,8.780091975412489,-12.415037499278844,used
2018,Five.Island,summer,7.027184829230051,-10.415037499278844,used
2018,Five.Island,summer,5.4422223286195015,-9.415037499278844,used
2018,Five.Island,summer,5.857259827898345,-8.415037499278844,used
2018,Five.Island,summer,7.027185021685557,-7.415037499278844,used
2018,Five.Island,summer,7.389754908762234,-6.415037499278844,used
2018,Five.Island,spring,16.81902482645428,-29.415037499278842,used
2018,Five.Island,spring,14.55764583679855,-28.415037499278842,used
2018,Five.Island,spring,13.811829325050079,-25.415037499278842,used
2018,Five.Island,spring,16.665978458586622,-22.415037499278842,used
2018,Five.Island,spring,14.398270754697148,-21.415037499278842,used
2018,Five.Island,spring,17.132573184253552,-20.415037499278842,used
2018,Five.Island,spring,17.17067998255689,-19.41503749927884,used
2018,Five.Island,spring,15.987169669977474,-18.415037499278842,used
2018,Five.Island,spring,15.854473662458572,-17.415037499278842,used
2018,Five.Island,spring,15.478760672557517,-16.415037499278842,used
2018,North.Twin,summer,16.940224256377043,-30.415037499278842,used
2018,North.Twin,summer,14.404171356136832,-25.415037499278842,used
2018,North.Twin,summer,15.541674879886767,-23.415037499278846,used
2018,North.Twin,summer,16.16970610249981,-20.415037499278842,used
2018,North.Twin,summer,14.404171356136832,-19.41503749927884,used
2018,North.Twin,summer,18.2813146083513,-18.415037499278842,used
2018,North.Twin,summer,5.4422223286195015,-14.415037499278844,used
2018,North.Twin,summer,8.720207075991103,-11.415037499278844,used
2018,North.Twin,summer,5.4422223286195015,-10.415037499278844,used
2018,North.Twin,summer,5.4422223286195015,-9.415037499278844,used
2018,North.Twin,summer,7.73990287720957,-8.415037499278844,used
