year,lake,season,remov,n,slope,slp_se,intcpt,int_se
2018,Storm,spring,0,14,-0.05835159,0.176965304,15.54484245,3.595744757
2018,Storm,summer,0,10,0.263644899,0.217400308,20.92899116,4.480718712
2018,South.Twin,spring,0,10,-0.034428911,0.248665789,16.99473976,4.954173249
2018,South.Twin,summer,0,10,0.032571803,0.224993142,17.2341088,4.63721044
2018,Center,spring,1,12,0.11089547,0.210829046,18.88942537,4.305235785
2018,Center,summer,1,9,0.425715729,0.246753017,23.79409059,4.832897983
2019,Five.Island,spring,1,7,-0.367254507,0.200319418,9.825836947,3.854177035
2019,Five.Island,summer,1,5,0.184037072,0.038332904,22.27684125,0.807305665
2019,North.Twin,spring,1,9,-0.032469507,0.281871889,16.00813276,5.944203755
2019,North.Twin,summer,1,9,0.477489188,0.18497596,25.28879589,3.488857026
2019,Silver,spring,1,5,0.960223507,0.810754753,30.25352825,14.34943259
2019,Silver,summer,1,7,0.825267278,0.169318424,29.83816216,3.164828345
2020,Storm,spring,0,10,0.163000281,0.156692288,15.87834751,3.126498816
2020,Storm,summer,0,7,-0.470129495,0.184745486,5.283432112,3.79863746
2020,South.Twin,spring,0,11,-0.00982079,0.150241111,16.46601231,2.989087871
2020,South.Twin,summer,0,5,-0.535282138,0.379449738,5.128058575,6.715826725
2020,Center,spring,0,10,0.279393617,0.19931704,19.68915574,3.813308706
2020,Center,summer,0,9,0.092664359,0.208572839,16.13625506,4.085102052
2018,Five.Island,spring,1,11,0.242473199,0.206119194,21.28426152,4.244641244
2018,Five.Island,summer,1,12,0.078436701,0.152122266,17.4222654,3.185180543
2018,North.Twin,spring,0,7,0.541472163,0.471865741,24.80102242,8.81991477
2018,North.Twin,summer,0,7,-0.025484725,0.242510497,14.67382572,5.00501297
2018,Silver,spring,0,9,0.455301405,0.295266642,23.43368719,5.864306799
2018,Silver,summer,0,11,0.383120566,0.146460978,21.10659411,2.771140013
2019,Storm,spring,0,12,0.044538556,0.156804189,14.76233717,3.147491553
2019,Storm,summer,0,10,-0.16389236,0.204958121,11.1737757,4.320222513
2019,South.Twin,spring,0,8,-0.581848071,0.334369217,5.32881476,6.526326282
2019,South.Twin,summer,0,8,-0.093378371,0.184760977,15.43364348,3.701588108
2019,Center,spring,1,8,0.365463108,0.176189982,22.32666573,3.386922548
2019,Center,summer,1,12,-0.063046906,0.175433638,13.42793099,3.631326221
2020,Five.Island,spring,0,8,-0.214650573,0.235801534,12.44024652,4.434024269
2020,Five.Island,summer,0,11,-0.210971461,0.196268745,13.00179766,3.860779739
2020,North.Twin,spring,1,10,0.331406434,0.22175002,22.83399655,4.509992698
2020,North.Twin,summer,1,4,1.241345164,1.096487677,39.93210433,21.35882796
2020,Silver,spring,1,10,0.206530194,0.169480418,17.34902435,3.178440693
2020,Silver,summer,1,9,-0.23351312,0.37247313,11.71311292,7.345608316
